timestamp,open,high,low,close,volume
2011-12-28,501.0,501.0,501.0,501.0,0.0
2011-12-29,512.24,512.24,512.24,512.24,0.0
2012-01-01,508.53,508.53,508.53,508.53,0.0
2012-01-02,508.36,508.36,508.36,508.36,0.0
2012-01-03,507.53,507.53,507.53,507.53,0.0
2012-01-04,506.97,506.97,506.97,506.97,0.0
2012-01-05,505.1,505.1,505.1,505.1,0.0
2012-01-08,506.21,506.21,506.21,506.21,0.0
2012-01-09,512.76,512.76,512.76,512.76,0.0
2012-01-10,520.89,520.89,520.89,520.89,0.0
2012-01-11,517.31,517.31,517.31,517.31,0.0
2012-01-12,526.49,526.49,526.49,526.49,0.0
2012-01-17,511.97,511.97,511.97,511.97,0.0
2012-01-18,526.46,526.46,526.46,526.46,0.0
2012-01-19,525.15,525.15,525.15,525.15,0.0
2012-01-22,524.59,524.59,524.59,524.59,0.0
2012-01-23,526.46,526.46,526.46,526.46,0.0
2012-01-25,527.67,527.67,527.67,527.67,0.0
2012-01-26,527.09,527.09,527.09,527.09,0.0
2012-01-29,527.23,527.23,527.23,527.23,0.0
2012-01-31,526.67,526.67,526.67,526.67,0.0
2012-02-01,524.93,524.93,524.93,524.93,0.0
2012-02-02,523.53,523.53,523.53,523.53,0.0
2012-02-05,524.17,524.17,524.17,524.17,0.0
2012-02-06,521.83,521.83,521.83,521.83,0.0
2012-02-07,513.68,513.68,513.68,513.68,0.0
2012-02-08,511.31,511.31,511.31,511.31,0.0
2012-02-09,511.75,511.75,511.75,511.75,0.0
2012-02-12,512.01,512.01,512.01,512.01,0.0
2012-02-13,511.18,511.18,511.18,511.18,0.0
2012-02-14,512.49,512.49,512.49,512.49,0.0
2012-02-15,511.18,511.18,511.18,511.18,0.0
2012-02-16,514.05,514.05,514.05,514.05,0.0
2012-02-21,513.14,513.14,513.14,513.14,0.0
2012-02-23,511.84,511.84,511.84,511.84,0.0
2012-02-26,510.43,510.43,510.43,510.43,0.0
2012-02-27,491.69,491.69,491.69,491.69,0.0
2012-02-28,487.2,487.2,487.2,487.2,0.0
2012-02-29,488.61,488.61,488.61,488.61,0.0
2012-03-01,489.45,489.45,489.45,489.45,0.0
2012-03-04,491.87,491.87,491.87,491.87,0.0
2012-03-05,492.34,492.34,492.34,492.34,0.0
